Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
35175453,101 Asian Dishes You Need to Cook Before You Die: Discover a New World of Flavors in Authentic Recipes,Jet Tila,"Tila, Jet",,"=""1624144039""","=""9781624144035""",0,4.44,Page Street Publishing,Kindle Edition,340,2017,2017,,2025/10/23,to-read,to-read (#731),to-read,,,,0,0
30137267,Patterns in Nature: Why the Natural World Looks the Way It Does,Philip Ball,"Ball, Philip",,"=""022633256X""","=""9780226332567""",0,4.21,The University of Chicago Press,Kindle Edition,350,2020,2016,,2025/10/23,to-read,to-read (#730),to-read,,,,0,0
19029250,Chi: Discovering Your Life Energy,Waysun Liao,"Liao, Waysun",,"=""0834823608""","=""""",0,3.96,Shambhala,Kindle Edition,145,2009,2009,,2025/10/23,to-read,to-read (#729),to-read,,,,0,0
4183947,"Combinatorics for Computer Science (Computers and math series) by Williamson, S. Gill (1985) Hardcover",S. Gill Williamson,"Williamson, S. Gill",,"=""0881750204""","=""9780881750201""",0,4.00,Computer Science Press,Hardcover,479,1985,,,2025/10/23,to-read,to-read (#728),to-read,,,,0,0
58943621,Inventology: How We Dream Up Things That Change the World,Pagan Kennedy,"Kennedy, Pagan",,"=""""","=""""",0,3.85,Houghton Mifflin Harcourt,Kindle Edition,296,2021,2015,,2025/10/23,to-read,to-read (#727),to-read,,,,0,0
6795339,Invariants: A Generative Approach to Programming (Texts in Computer Science),Daniel Zingaro,"Zingaro, Daniel",,"=""1904987834""","=""9781904987833""",0,4.00,College Publications,Paperback,188,2008,2008,,2025/10/23,to-read,to-read (#726),to-read,,,,0,0
8216968,The Art of Learning: An Inner Journey to Optimal Performance,Josh Waitzkin,"Waitzkin, Josh",,"=""""","=""""",0,4.04,,Kindle Edition,292,,2007,,2025/10/23,to-read,to-read (#725),to-read,,,,0,0
18869102,The Seven Storey Mountain,Thomas Merton,"Merton, Thomas",,"=""0547543816""","=""9780547543819""",0,4.08,HarperOne,Kindle Edition,468,1998,1948,,2025/10/23,to-read,to-read (#724),to-read,,,,0,0
42374490,Life Lessons From A Brain Surgeon: Practical Strategies for Peak Health and Performance,Rahul Jandial,"Jandial, Rahul",,"=""1328969835""","=""9781328969835""",0,4.10,Harvest,Kindle Edition,274,2024,2019,,2025/10/23,to-read,to-read (#723),to-read,,,,0,0
39082392,Evolving Beyond Thought: Updating Your Brain's Software,Gary Weber,"Weber, Gary",,"=""197972377X""","=""9781979723770""",0,3.79,CreateSpace Independent Publishing Platform,Paperback,220,2018,,,2025/10/23,to-read,to-read (#722),to-read,,,,0,0
26478926,Elliot Wave Techniques Simplified: How to Use the Probability Matrix to Profit on More Trades,Bennett A. McDowell,"McDowell, Bennett A.",,"=""0071819312""","=""9780071819312""",0,3.97,McGraw Hill,Kindle Edition,297,2015,2013,,2025/10/23,to-read,to-read (#721),to-read,,,,0,0
24988641,Operating Systems: Three Easy Pieces,Remzi H. Arpaci-Dusseau,"Arpaci-Dusseau, Remzi H.",Andrea Arpaci-Dusseau,"=""""","=""""",0,4.71,Arpaci-Dusseau Books,Kindle Edition,0,2015,2012,,2025/10/23,to-read,to-read (#720),to-read,,,,0,0
39815694,The Good Society: The Humane Agenda,John Kenneth Galbraith,"Galbraith, John Kenneth",,"=""""","=""""",0,3.78,Mariner Books,Kindle Edition,128,2017,1996,,2025/10/23,to-read,to-read (#718),to-read,,,,0,0
24698667,Conscious Breathing: Discover The Power of Your Breath,Anders Olsson,"Olsson, Anders",,"=""""","=""""",0,4.15,Sorena AB,Kindle Edition,267,2014,2012,,2025/10/23,to-read,to-read (#719),to-read,,,,0,0
2092727,Happiness Beyond Thought: A Practical Guide to Awakening,Gary Weber,"Weber, Gary",,"=""0595418562""","=""9780595418565""",0,4.06,iUniverse,Paperback,172,2007,2007,,2025/10/23,to-read,to-read (#717),to-read,,,,0,0
923691,"Sadhana, a Way to God: Christian Exercises in Eastern Form",Anthony de Mello,"Mello, Anthony de",,"=""0385196148""","=""9780385196147""",0,4.23,Image,Paperback,144,1984,1978,,2025/10/23,to-read,to-read (#716),to-read,,,,0,0
19092781,Number Theory (Dover Books on Mathematics),George E. Andrews,"Andrews, George E.",,"=""0486135101""","=""9780486135106""",0,4.08,Dover Publications,Kindle Edition,375,2012,2012,,2025/10/23,to-read,to-read (#715),to-read,,,,0,0
46005358,Mental Math: Tricks To Become A Human Calculator,Abhishek V R,"R, Abhishek V",Ofpad The School of Genius,"=""935578466X""","=""9789355784667""",0,3.78,Ofpad,Kindle Edition,306,2019,,,2025/10/23,to-read,to-read (#714),to-read,,,,0,0
52498788,12 Power Principles for Success,Bob Proctor,"Proctor, Bob",,"=""1722522909""","=""9781722522902""",0,4.46,G&D Media,Kindle Edition,207,2019,,,2025/10/23,to-read,to-read (#713),to-read,,,,0,0
53989361,Beginners: The Joy and Transformative Power of Lifelong Learning,Tom Vanderbilt,"Vanderbilt, Tom",,"=""1524732176""","=""9781524732172""",0,3.67,Vintage,Kindle Edition,299,2021,2021,,2025/10/23,to-read,to-read (#712),to-read,,,,0,0
20649136,Introduction to Mathematical Philosophy,Bertrand Russell,"Russell, Bertrand",,"=""1420939424""","=""9781420939422""",0,4.04,Digireads.com Publishing,Kindle Edition,187,2011,1918,,2025/10/23,to-read,to-read (#711),to-read,,,,0,0
28088288,The Conquest of Happiness,Bertrand Russell,"Russell, Bertrand",Daniel C. Dennett,"=""1631491482""","=""9781631491481""",0,4.02,Liveright,Kindle Edition,214,2013,1930,,2025/10/23,to-read,to-read (#710),to-read,,,,0,0
38922272,Company Of One: Why Staying Small Is the Next Big Thing for Business,Paul Jarvis,"Jarvis, Paul",,"=""""","=""""",0,3.92,Mariner Books,Kindle Edition,274,2019,2019,,2025/10/23,to-read,to-read (#709),to-read,,,,0,0
33781812,Ninja Selling: Subtle Skills. Big Results.,Larry Kendall,"Kendall, Larry",,"=""1626342857""","=""9781626342859""",0,4.50,Greenleaf Book Group Press,Kindle Edition,345,2017,,,2025/10/23,to-read,to-read (#708),to-read,,,,0,0
43325390,"Hungry: Eating, Road-Tripping, and Risking It All with the Greatest Chef in the World",Jeff Gordinier,"Gordinier, Jeff",,"=""152475966X""","=""9781524759667""",0,3.75,Crown,Kindle Edition,222,2019,2019,,2025/10/23,to-read,to-read (#707),to-read,,,,0,0
49918945,How to Prove It: A Structured Approach,Daniel J. Velleman,"Velleman, Daniel J.",,"=""1108335888""","=""9781108335881""",0,4.30,Cambridge University Press,Kindle Edition,469,2019,1994,,2025/10/23,to-read,to-read (#705),to-read,,,,0,0
43308285,The Best American Short Stories 2019,Anthony Doerr,"Doerr, Anthony",Heidi Pitlor,"=""1328467120""","=""9781328467126""",0,3.64,Houghton Mifflin Harcourt,Kindle Edition,853,2024,2019,,2025/10/23,to-read,to-read (#706),to-read,,,,0,0
50083115,"Architecture Patterns with Python: Enabling Test-Driven Development, Domain-Driven Design, and Event-Driven Microservices",Harry Percival,"Percival, Harry",Bob Gregory,"=""1492052205""","=""9781492052203""",0,4.40,O'Reilly Media,Paperback,280,2020,,,2025/10/23,to-read,to-read (#704),to-read,,,,0,0
37761443,"Search Inside Yourself: The Unexpected Path to Achieving Success, Happiness (And World Peace)",Chade-Meng Tan,"Tan, Chade-Meng",,"=""""","=""""",0,4.04,HarperOne,Kindle Edition,291,2012,2012,,2025/10/23,to-read,to-read (#703),to-read,,,,0,0
8563950,The Motley Fool Million Dollar Portfolio: How to Build and Grow a Panic-Proof Investment Portfolio (Motley Fool Books),Christopher Whitcomb,"Whitcomb, Christopher",Tom Gardner,"=""""","=""""",0,3.79,,Kindle Edition,402,,2008,,2025/10/23,to-read,to-read (#702),to-read,,,,0,0
55247802,Visualizing is Realizing: What You See is What You Get,Mark Victor Hansen,"Hansen, Mark Victor",,"=""1722524146""","=""9781722524142""",0,3.80,G&D Media,Kindle Edition,156,2020,,,2025/10/23,to-read,to-read (#701),to-read,,,,0,0
13003828,How the World Works,Noam Chomsky,"Chomsky, Noam",Arthur Naiman,"=""""","=""""",0,4.13,,Kindle Edition,414,,2011,,2025/10/23,to-read,to-read (#700),to-read,,,,0,0
13056669,The Financial Numbers Game: Detecting Creative Accounting Practices,Charles W. Mulford,"Mulford, Charles W.",,"=""""","=""""",0,4.14,,Kindle Edition,734,,2005,,2025/10/23,to-read,to-read (#699),to-read,,,,0,0
36685105,Wild Mind: Living the Writer's Life,Natalie Goldberg,"Goldberg, Natalie",,"=""""","=""""",0,4.14,Open Road Media,Kindle Edition,258,2017,1990,,2025/10/23,to-read,to-read (#698),to-read,,,,0,0
53188721,The Imitation of Christ by Thomas à Kempis,Thomas à Kempis,"Kempis, Thomas à",,"=""1679593676""","=""9781679593673""",0,4.23,Independently published,Paperback,184,2020,1427,,2025/10/23,to-read,to-read (#697),to-read,,,,0,0
35253056,Life in Code: A Personal History of Technology,Ellen Ullman,"Ullman, Ellen",,"=""0374711410""","=""9780374711412""",0,3.96,MCD,Kindle Edition,319,2024,2017,,2025/10/23,to-read,to-read (#696),to-read,,,,1,0
6565082,"Born to Run: A Hidden Tribe, Superathletes, and the Greatest Race the World Has Never Seen",Christopher McDougall,"McDougall, Christopher",,"=""0307271919""","=""9780307271914""",0,4.30,Alfred A. Knopf,Kindle Edition,306,2009,2009,,2025/10/23,to-read,to-read (#695),to-read,,,,0,0
23808080,Journey to Portugal: In Pursuit of Portugal's History and Culture,José Saramago,"Saramago, José","Amanda Hopkinson, Nick Caistor","=""054754104X""","=""9780547541044""",0,3.42,Mariner Books,Kindle Edition,466,2020,1981,,2025/10/23,to-read,to-read (#694),to-read,,,,0,0
38348453,Sunset Oasis,Bahaa Taher,"Taher, Bahaa",,"=""""","=""""",0,3.82,دار الشروق,Kindle Edition,322,2017,2006,,2025/10/23,to-read,to-read (#693),to-read,,,,0,0
19045245,The Heart of Compassion: The Thirty-seven Verses on the Practice of a Bodhisattva,Dilgo Khyentse,"Khyentse, Dilgo",Padmakara Translation Group,"=""0834824299""","=""9780834824294""",0,4.64,Shambhala,Kindle Edition,276,2007,2007,,2025/10/23,to-read,to-read (#692),to-read,,,,0,0
25906085,Understanding Analysis (Undergraduate Texts in Mathematics),Stephen Abbott,"Abbott, Stephen",,"=""""","=""""",0,4.48,Springer,Kindle Edition,324,2015,2000,,2025/10/23,to-read,to-read (#691),to-read,,,,0,0
27635317,Mamushka: A Cookbook,Olia Hercules,"Hercules, Olia",,"=""1681880741""","=""9781681880747""",0,4.26,Weldon Owen,Kindle Edition,364,2021,2015,,2025/10/23,to-read,to-read (#690),to-read,,,,0,0
34854617,Six Seasons: A New Way with Vegetables,Martha  Holmberg,"Holmberg, Martha",Martha Holmberg,"=""1579657788""","=""9781579657789""",0,4.33,Artisan,Kindle Edition,741,2017,2017,,2025/10/23,to-read,to-read (#689),to-read,,,,0,0
55540825,The New Slow Cooker: Comfort Classics Reinvented (Williams-Sonoma),Brigit Binns,"Binns, Brigit",,"=""1681886375""","=""9781681886374""",0,3.77,Weldon Owen,Kindle Edition,227,2021,2011,,2025/10/23,to-read,to-read (#688),to-read,,,,0,0
18923672,In the Realm of Hungry Ghosts: Close Encounters with Addiction,Gabor Maté,"Maté, Gabor",Peter A. Levine,"=""1583944206""","=""9781583944202""",0,4.48,North Atlantic Books,Kindle Edition,522,2011,2007,,2025/10/23,to-read,to-read (#687),to-read,,,,0,0
22597345,Set Theory and Logic (Dover Books on Mathematics),Robert Roth Stoll,"Stoll, Robert Roth",,"=""0486139646""","=""9780486139647""",0,4.00,Dover Publications,Kindle Edition,554,2012,1968,,2025/10/23,to-read,to-read (#685),to-read,,,,0,0
19592172,Advanced Calculus,David Vernon Widder,"Widder, David Vernon",,"=""0486134660""","=""9780486134666""",0,4.14,Dover Publications,Kindle Edition,812,2012,1989,,2025/10/23,to-read,to-read (#686),to-read,,,,0,0
51640651,"Courageous Cultures: How to Build Teams of Micro-Innovators, Problem Solvers, and Customer Advocates",Karin Hurt,"Hurt, Karin","David Dye, Amy Edmonson","=""140021954X""","=""9781400219544""",0,3.83,HarperCollins Leadership,Kindle Edition,224,2020,2020,,2025/10/23,to-read,to-read (#683),to-read,,,,0,0
58418206,The Complete Works of William James. Illustrated: The Varieties of Religious Experience. The Principles of Psychology. Pragmatism,William  James,"James, William",,"=""0880004754""","=""9780880004756""",0,0.0,Strelbytskyy Multimedia Publishing,Kindle Edition,0,2021,,,2025/10/23,to-read,to-read (#684),to-read,,,,0,0
56481725,Staff Engineer: Leadership Beyond the Management Track,Will Larson,"Larson, Will",Tanya Reilly,"=""1736417908""","=""""",0,4.04,Will Larson,Kindle Edition,337,2021,,,2025/10/23,to-read,to-read (#682),to-read,,,,0,0
50924805,Algorithm Design with Haskell,Richard S. Bird,"Bird, Richard S.",Jeremy Gibbons,"=""1108491618""","=""9781108491617""",0,4.33,Cambridge University Press,Hardcover,450,2020,,,2025/10/23,to-read,to-read (#681),to-read,,,,0,0
22847559,The Bogleheads' Guide to Investing,Mel Lindauer,"Lindauer, Mel","Taylor Larimore, Michael LeBoeuf, John C. Bogle","=""""","=""""",0,4.29,Wiley,Kindle Edition,330,2014,2006,,2025/10/23,to-read,to-read (#680),to-read,,,,0,0
36144278,Mental Health Emergencies: A Guide to Recognizing and Handling Mental Health Crises,Nick Benas,"Benas, Nick",Michele Hart,"=""1578266750""","=""9781578266753""",0,3.75,Hatherleigh Press,Kindle Edition,177,2017,,,2025/10/23,to-read,to-read (#679),to-read,,,,0,0
14096,"Wherever You Go, There You Are: Mindfulness Meditation in Everyday Life",Jon Kabat-Zinn,"Kabat-Zinn, Jon",,"=""1401307787""","=""9781401307783""",0,4.13,Balance,Paperback,304,2005,1994,,2025/10/23,to-read,to-read (#678),to-read,,,,0,0
18077815,"Full Catastrophe Living: Using the Wisdom of Your Body and Mind to Face Stress, Pain, and Illness",Jon Kabat-Zinn,"Kabat-Zinn, Jon",Thich Nhat Hanh,"=""0345536932""","=""9780345536938""",0,4.16,Bantam,Paperback,720,2013,1990,,2025/10/23,to-read,to-read (#677),to-read,,,,0,0
22738711,"OATrageous Oatmeals: Delicious & Surprising Plant-Based Dishes From This Humble, Heart-Healthy Grain",Kathy Hester,"Hester, Kathy",,"=""""","=""""",0,4.16,Page Street Publishing,Kindle Edition,342,2014,2014,,2025/10/23,to-read,to-read (#676),to-read,,,,0,0
57915291,"The Power of Awareness: And Other Secrets from the World's Foremost Spies, Detectives, and Special Operators on How to Stay Safe and Save Your Life",Dan Schilling,"Schilling, Dan",,"=""1538718693""","=""9781538718698""",0,4.01,Grand Central Publishing,Kindle Edition,273,2021,,,2025/10/23,to-read,to-read (#675),to-read,,,,0,0
54902600,The Flavor Equation: The Science of Great Cooking Explained in More Than 100 Essential Recipes,Nik Sharma,"Sharma, Nik",,"=""145218285X""","=""9781452182858""",0,4.08,Chronicle Books LLC,Kindle Edition,805,2020,2020,,2025/10/23,to-read,to-read (#674),to-read,,,,0,0
33021339,Moshi Moshi: A Novel,Banana Yoshimoto,"Yoshimoto, Banana",Asa Yoneda,"=""1619028662""","=""9781619028661""",0,3.71,Counterpoint,Kindle Edition,200,2016,2010,,2025/10/23,to-read,to-read (#673),to-read,,,,0,0
16174690,The C Programming Language,Brian W. Kernighan,"Kernighan, Brian W.",Dennis M. Ritchie,"=""0133086216""","=""9780133086218""",0,4.44,Prentice Hall,Kindle Edition,279,2012,1978,,2025/10/23,to-read,to-read (#672),to-read,,,,0,0
36467342,PRODUCE YOURSELF: Apply Hollywood's Proven Formula To Become The Hero Of Your Life,Terence Michael,"Michael, Terence",,"=""1641365560""","=""9781641365567""",0,4.25,100 Percent Terry Cloth,Kindle Edition,430,2017,,,2025/10/23,to-read,to-read (#671),to-read,,,,0,0
55238272,MAKE BANK (when you think like one): A Field Guide for Turning Your Finances Into an Automatic Money Machine Using Proven and Profitable Strategies You’ve Never Heard of Before,Terence Michael,"Michael, Terence",,"=""""","=""""",0,4.58,"100 Percent Terry Cloth, Inc.",Kindle Edition,182,2020,,,2025/10/23,to-read,to-read (#670),to-read,,,,0,0
30646587,"The Simple Path to Wealth: Your Road Map to Financial Independence and a Rich, Free Life",J.L.   Collins,"Collins, J.L.",Mr. Money Mustache,"=""""","=""""",0,4.42,jlcollinsnh.com,Kindle Edition,286,2016,2016,,2025/10/23,to-read,to-read (#669),to-read,,,,0,0
43840338,"From Nothing: Everything You Need to Profit from Affiliate Marketing, Internet Marketing, Blogging, Online Business, e-Commerce and More… Starting With <$100",Ian Pribyl,"Pribyl, Ian",Regina Pribyl,"=""1733706100""","=""9781733706100""",0,3.92,The Free Internet Marketing Project,Kindle Edition,360,2019,,,2025/10/23,to-read,to-read (#668),to-read,,,,0,0
18938387,The Art of Memory,Frances A. Yates,"Yates, Frances A.",,"=""""","=""""",0,4.16,Vintage Digital,Kindle Edition,581,2011,1966,,2025/10/23,to-read,to-read (#667),to-read,,,,0,0
19175709,The Attention Revolution: Unlocking the Power of the Focused Mind,B. Alan Wallace,"Wallace, B. Alan",,"=""0861719905""","=""9780861719907""",0,3.93,Wisdom Publications,Kindle Edition,230,2006,2006,,2025/10/23,to-read,to-read (#666),to-read,,,,0,0
6583353,Eichmann in Jerusalem: A Report on the Banality of Evil,Hannah Arendt,"Arendt, Hannah",Amos Elon,"=""1101007168""","=""9781101007167""",0,4.20,Penguin Classics,Kindle Edition,362,2006,1963,,2025/10/23,to-read,to-read (#665),to-read,,,,0,0
50643039,"Secrets to a Successful Startup: A Recession-Proof Guide to Starting, Surviving & Thriving in Your Own Venture",Trevor Blake,"Blake, Trevor",,"=""1608686671""","=""9781608686674""",0,4.19,New World Library,Kindle Edition,296,2020,,,2025/10/23,to-read,to-read (#664),to-read,,,,0,0
57757555,Big Brain Little Brain: How to Control Which One Speaks for You,Kevin Thomas McCarney,"McCarney, Kevin Thomas",,"=""1544517572""","=""9781544517575""",0,4.06,O'Connell House,Kindle Edition,225,2021,,,2025/10/23,to-read,to-read (#663),to-read,,,,0,0
36396764,Closing the Gap: The Quest to Understand Prime Numbers,Vicky Neale,"Neale, Vicky",,"=""0191092444""","=""9780191092442""",0,4.00,OUP Oxford,Kindle Edition,170,2017,,,2025/10/23,to-read,to-read (#662),to-read,,,,0,0
41591842,Tiffin: 500 Authentic Recipes Celebrating India's Regional Cuisine,Sonal Ved,"Ved, Sonal","Abhilasha Dewan, Floyd Cardoz, Anshika Varma","=""0316415774""","=""9780316415774""",0,4.14,Black Dog & Leventhal,Kindle Edition,489,2025,,,2025/10/23,to-read,to-read (#661),to-read,,,,0,0
49224458,Applied Combinatorics: with Graph Theory,Anna Mitina,"Mitina, Anna",,"=""""","=""""",0,0.0,,Kindle Edition,0,2019,,,2025/10/23,to-read,to-read (#660),to-read,,,,0,0
40946478,"Tour of C++, A (C++ In-Depth)",Stroustrup Bjarne,"Bjarne, Stroustrup",,"=""0134998030""","=""9780134998039""",0,4.29,Addison-Wesley Professional,Kindle Edition,246,2018,2013,,2025/10/23,to-read,to-read (#659),to-read,,,,0,0
41441922,C++ Crash Course,Josh Lospinoso,"Lospinoso, Josh",,"=""1593278896""","=""9781593278892""",0,4.25,No Starch Press,Kindle Edition,790,2019,,,2025/10/23,to-read,to-read (#658),to-read,,,,0,0
35235831,How To Ask For More and Get It: The Art Of Creative Negotiation,Francis Greenburger,"Greenburger, Francis",Thomas Kiernan,"=""""","=""""",0,4.33,Sanford J. Greenburger Associates,Kindle Edition,194,2013,1978,,2025/10/23,to-read,to-read (#657),to-read,,,,0,0
58984485,"BEATING LONG HAULERS: World's top physicians explain brain fog, fatigue and other symptoms of PASC (Long Covid) and why patients should have hope.",Michael Bowker,"Bowker, Michael",,"=""1737184605""","=""9781737184607""",0,5.00,R.R. Bowker LLC,Paperback,179,2021,,,2025/10/23,to-read,to-read (#656),to-read,,,,0,0
13157935,Glorious Pasta of Italy,Domenica Marchetti,"Marchetti, Domenica",,"=""1452106908""","=""9781452106908""",0,4.18,Chronicle Books,Kindle Edition,280,2011,2011,,2025/10/23,to-read,to-read (#655),to-read,,,,0,0
55969280,The Battle for Investment Survival (Essential Investment Classics),Gerald M. Loeb,"Loeb, Gerald M.",,"=""1722523670""","=""9781722523671""",0,3.99,G&D Media,Kindle Edition,321,2020,1911,,2025/10/23,to-read,to-read (#654),to-read,,,,0,0
9402168,Power: Why Some People Have it and Others Don't,Jeffrey Pfeffer,"Pfeffer, Jeffrey",,"=""""","=""""",0,3.88,,Kindle Edition,291,,2010,,2025/10/23,to-read,to-read (#653),to-read,,,,0,0
123858009,Wavewalker: A Memoir of Breaking Free,Suzanne Heywood,"Heywood, Suzanne",,"=""0008648395""","=""9780008648398""",0,4.23,William Collins,Kindle Edition,401,2023,2023,,2025/10/23,to-read,to-read (#652),to-read,,,,0,0
223625207,What I Talk About When I Talk About Running (Vintage International),Haruki Murakami,"Murakami, Haruki",Philip Gabriel,"=""0307269477""","=""9780307269478""",0,3.87,Vintage,Kindle Edition,194,2025,2007,,2025/10/23,to-read,to-read (#651),to-read,,,,0,0
203821811,Panic Proof: The New Holistic Solution to End Your Anxiety Forever,Dr. Nicole Cain,"Cain, Dr. Nicole",,"=""0593582586""","=""9780593582589""",0,3.96,Rodale Books,Kindle Edition,535,2024,,,2025/10/23,to-read,to-read (#650),to-read,,,,0,0
42358588,"The Emotion Code: How to Release Your Trapped Emotions for Abundant Health, Love, and Happiness (Updated and Expanded Edition)",Bradley  Nelson,"Nelson, Bradley",,"=""1250214521""","=""9781250214522""",0,3.95,St. Martin's Essentials,Kindle Edition,349,2019,2007,,2025/10/23,to-read,to-read (#649),to-read,,,,0,0
31125070,"Pimp My Rice: Spice It Up, Dress It Up, Serve It Up",Nisha Katona,"Katona, Nisha",,"=""1848992904""","=""9781848992900""",0,3.96,Nourish,Kindle Edition,442,2016,2015,,2025/10/23,to-read,to-read (#648),to-read,,,,0,0
212976235,Memorial Days,Geraldine Brooks,"Brooks, Geraldine",,"=""0593653998""","=""9780593653999""",0,4.32,Viking,Kindle Edition,224,2025,2025,,2025/10/23,to-read,to-read (#647),to-read,,,,0,0
215366201,Managing Up: How to Get What You Need from the People in Charge,Melody Wilding,"Wilding, Melody",,"=""0593444663""","=""9780593444665""",0,4.16,Crown Currency,Kindle Edition,354,2025,,,2025/10/23,to-read,to-read (#646),to-read,,,,0,0
55221450,One Pot of the Day: 365 Recipes for Every Day of the Year (Williams-Sonoma),Kate McMillan,"McMillan, Kate",,"=""1681886782""","=""9781681886787""",0,4.01,Weldon Owen,Kindle Edition,305,2021,2012,,2025/10/23,to-read,to-read (#645),to-read,,,,0,0
219431300,All Marketers are Liars: The Underground Classic That Explains How Marketing Really Works--and Why Authenticity Is the Best Marketing of All,Seth Godin,"Godin, Seth",,"=""""","=""""",0,3.88,Portfolio,Kindle Edition,243,2009,2005,,2025/10/23,to-read,to-read (#644),to-read,,,,0,0
50249799,"The System: Who Rigged It, How We Fix It",Robert B. Reich,"Reich, Robert B.",,"=""0525659056""","=""9780525659051""",0,4.28,Vintage,Kindle Edition,206,2020,2020,,2025/10/23,to-read,to-read (#643),to-read,,,,0,0
61231076,The New Food Lover's Companion,Ron Herbst,"Herbst, Ron",Sharon Tyler Herbst,"=""""","=""""",0,4.67,Sourcebooks,Kindle Edition,930,2013,,,2025/10/23,to-read,to-read (#642),to-read,,,,0,0
57670700,The Alice B. Toklas Cook Book,Alice B. Toklas,"Toklas, Alice B.","Ruth Reichl, M.F.K. Fisher","=""""","=""""",0,4.03,Harper Perennial Modern Classics,Kindle Edition,363,2023,1954,,2025/10/23,to-read,to-read (#641),to-read,,,,0,0
46011237,Nothing Fancy: Unfussy Food for Having People Over,Alison Roman,"Roman, Alison",,"=""0451497023""","=""9780451497024""",0,4.16,Clarkson Potter,Kindle Edition,445,2019,2019,,2025/10/23,to-read,to-read (#640),to-read,,,,0,0
60355922,The Man Who Broke Capitalism: How Jack Welch Gutted the Heartland and Crushed the Soul of Corporate America—and How to Undo His Legacy,David Gelles,"Gelles, David",,"=""""","=""""",0,4.03,Simon & Schuster,Kindle Edition,271,2022,,,2025/10/23,to-read,to-read (#639),to-read,,,,0,0
6590713,Don't Panic: Taking Control of Anxiety Attacks,R. Reid Wilson,"Wilson, R. Reid",,"=""0061925764""","=""9780061925764""",0,3.93,HarperCollins e-books,Kindle Edition,434,2009,1986,,2025/10/23,to-read,to-read (#638),to-read,,,,0,0
61409072,"A Hacker's Mind: How the Powerful Bend Society's Rules, and How to Bend them Back",Bruce Schneier,"Schneier, Bruce",,"=""039386667X""","=""9780393866674""",0,3.70,W. W. Norton & Company,Kindle Edition,298,2023,2023,,2025/10/23,to-read,to-read (#637),to-read,,,,0,0
48552120,The Concise Human Body Book (DK Human Body Guides),Steve Parker,"Parker, Steve",,"=""074402076X""","=""9780744020762""",0,4.40,DK,Kindle Edition,320,2019,2007,,2025/10/23,to-read,to-read (#636),to-read,,,,0,0
195534135,How Not to Kill Your Houseplant New Edition: Survival Tips for the Horticulturally Challenged,Veronica Peerless,"Peerless, Veronica",,"=""0744095883""","=""9780744095883""",0,4.21,DK,Kindle Edition,437,2023,2017,,2025/10/23,to-read,to-read (#635),to-read,,,,0,0
61242207,The Happiness Trap: How to Stop Struggling and Start Living (Second Edition),Russ Harris,"Harris, Russ",,"=""0834844419""","=""9780834844414""",0,4.14,Shambhala,Kindle Edition,308,2022,2007,,2025/10/23,to-read,to-read (#634),to-read,,,,0,0
18931872,Quantum Physics: A Beginner's Guide (Beginner's Guides),Alastair I.M. Rae,"Rae, Alastair I.M.",,"=""1780740476""","=""9781780740478""",0,3.76,Oneworld Publications,Kindle Edition,235,2005,2005,,2025/10/23,to-read,to-read (#633),to-read,,,,0,0
6054486,The Power Of Less: The Fine Art of Limiting Yourself to the Essential,Leo Babauta,"Babauta, Leo",,"=""""","=""""",0,3.71,,Kindle Edition,204,,2008,,2025/10/23,to-read,to-read (#632),to-read,,,,0,0
179022214,Read Write Own: Building the Next Era of the Internet,Chris  Dixon,"Dixon, Chris",,"=""0593731409""","=""9780593731406""",0,3.96,Random House,Kindle Edition,304,2024,,,2025/10/23,to-read,to-read (#631),to-read,,,,0,0
31645392,"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking",S.J. Scott,"Scott, S.J.",Barrie Davenport,"=""""","=""""",0,3.70,Oldtown Publishing LLC,Kindle Edition,157,2016,2016,,2025/10/23,to-read,to-read (#630),to-read,,,,0,0
5997289,The Quiet Room: A Journey Out of the Torment of Madness,Lori Schiller,"Schiller, Lori",Amanda   Bennett,"=""""","=""""",0,4.09,,Kindle Edition,290,,1994,,2025/10/23,to-read,to-read (#628),to-read,,,,0,0
134438,"Peter L. Bernstein Classics Boxed Set : Capital Ideas, Against the Gods, The Power of Gold",Peter L. Bernstein,"Bernstein, Peter L.",,"=""0471736252""","=""9780471736257""",0,4.15,John Wiley & Sons Inc,Paperback,1200,2005,2005,,2025/10/23,to-read,to-read (#629),to-read,,,,0,0
25634188,"Forensics: What Bugs, Burns, Prints, DNA and More Tell Us About Crime",Val McDermid,"McDermid, Val",,"=""0802191053""","=""9780802191052""",0,4.09,Grove Press,Kindle Edition,280,2018,2014,,2025/10/23,to-read,to-read (#627),to-read,,,,0,0
202765964,Autopilot,Andrew Smart,"Smart, Andrew",,"=""9358568550""","=""9789358568554""",0,5.00,Fingerprint! Publishing,Kindle Edition,142,2017,,,2025/10/23,to-read,to-read (#626),to-read,,,,0,0
